Nr,Name,country,Political_group,Party,Institution,mandate,post_mandate_activities,category_pie,category_bar,Brussels_lobbying,Number_activities,Link_source,Link_profile,On_JTR,Link_JTR,Comments,party2,Description,Paid or unpaid (a blank entry means it is not clear),Answers,Certified,Date of Commission authorisation,Based on advice from Ad hoc Ethical Committee?,Link to authorisation in College of Commissioners' minutes,"Link to Commission authorisation documents, released under freedom of information rules. Click on the links to read the documents"
4466,Ilda Figueiredo,Portugal,GUE/NGL,Democratic Unity Coalition (Communist Party),European parliament,MEP,Unknown,Unknown,Unknown,Unknown,0,,,No,,,,,,,,,,,
96834,Iliana Ivanova,Bulgaria,EPP,Citizens for European Development of Bulgaria,European parliament,MEP,Member of the European Court of Auditors ,Public Service,Public sector,no,,http://www.eca.europa.eu/en/Pages/OrganizationChartList.aspx,,No,,,GERB,,,,,,,,
119875,Iñaki Irazabalbeitia Fernández,Spain,Greens/EFA,Aralar Party,European parliament,MEP,Professor at the Academy of the Basque Language,Academia,University,no,,http://www.euskaltzaindia.eus/index.php?option=com_content&view=article&id=4764&Itemid=405&lang=eu,,no,,,,,,,,,,,
1873,Íñigo Méndez De Vigo,Spain,EPP,People's Party,European parliament,MEP,"Minister of Education, Culture and Sports",Public Service,Elected office,no,,http://www.mecd.gob.es/ministerio-mecd/ministro.html,,No,,,PP,,,,,,,,
96859,Ioan Enciu,Romania,S&D,Social Democratic Party,European parliament,MEP,No information available,Unknown,Unknown,Unknown,0,,,No,,,,Confirm,,,,,,,
96898,Ioannis A. Tsoukalas,Greece,EPP,New Democracy,European parliament,MEP,Professor at the Aristotle University of Thessanloniki,Academia,University,no,,https://en.wikipedia.org/wiki/Ioannis_Tsoukalas,,yes,http://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=562567024250-95,,,,,,,,,,
28474,Ioannis Kasoulides,Cyprus,EPP,Democratic Rally,European parliament,MEP,Minister for Foreign Affairs,Public Service,Elected office,no,,http://www.mfa.gov.cy/mfa/mfa2016.nsf/All/277ED5DD99EFEB25C2257F9C00209CFF?OpenDocument,,No,,,,,,,,,,,
95017,Iosif Matula,Romania,EPP,Democratic Liberal Party,European parliament,MEP,Professor at the Arad High School ,Academia,University,no,,https://www.facebook.com/pages/Iosif-Matula/144306458917399?fref=ts,,no,,,,,,,,,,,
96639,Isabelle Durant,Belgium,Greens/EFA,Ecolo,European parliament,MEP,Member of the Brussels-Capital regional parliament,Public Service,Elected office,no,,https://goo.gl/AR9q3l,,No,,,,,,,,,,,
41007,Iva Zanicchi,Italy,EPP,The people of freedom,European parliament,MEP,Retired,Other,Retired / Deceased,no,,https://it.wikipedia.org/wiki/Iva_Zanicchi,,No,,,,Retired,,,,,,,
96807,Ivailo Kalfin,Bulgaria,S&D,Coalition for Bulgaria (Socialist Party),European parliament,MEP,Official candidate for the Presidency,Public Service,Political party,no,,"http://www.novinite.com/articles/176751/Ivaylo+Kalfin,+the+Seasoned+Politician+Facing+an+Uphill+Battle",,No,,,,,,,,,,,
97025,Ivari Padar,Estonia,S&D,Social Democratic Party,European parliament,MEP,Member of the Estonian parliament ,Public Service,Elected office,no,,http://www.riigikogu.ee/en/parliament-of-estonia/composition/members-riigikogu/,,No,,,,,,,,,,,
97004,Ivars Godmanis,Latvia,ALDE,Latvia's First Party/Latvian Way,European parliament,MEP,No information available,Unknown,Unknown,Unknown,0,https://fr.wikipedia.org/wiki/Ivars_Godmanis,,No,,,,No info ,,,,,,,
28320,Ivo Strejcek,Czech Republic,ECR,Civic Democratic Party,European parliament,MEP,Advisor to former President Vaclav Havel ,Public Service,Political party,no,,https://cs.wikipedia.org/wiki/Ivo_Strej%C4%8Dek,,No,,,,,,,,,,,
96795,Jacek Olgierd Kurski,Poland,ECR,Law and Justice,European parliament,MEP,General Director of the Polish Television,Private Sector,Media,no,,https://pl.wikipedia.org/wiki/Jacek_Kurski,,no,,,PiS,Got nominated by the current administration,,,,,,,
23782,Jacek Protasiewicz,Poland,EPP,Civic Platform,European parliament,MEP,Member of the Polish parliament,Public Service,Elected office,no,,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=312,,No,,,,,,,,,,,
96802,Jacek Wlosowicz,Poland,ECR,Law and Justice,European parliament,MEP,Polish Senator,Public Service,Elected office,no,,"https://www.senat.gov.pl/sklad/senatorowie/senator,468,9,jacek-wlosowicz.html",,No,,,PiS,,,,,,,,
28215,Jacky Hénin,France,GUE/NGL,Left Front,European parliament,MEP,Municipal Councillor in in the City of Calais,Public Service,Elected office,no,2,http://www.calais.fr/fr/Ville-de-Calais/la-mairie/vie-municipale/les-elus/presentation?userprofile=566841111a6c7e89089a8a7f,,No,,,,Unclear if this is a job,,,,,,,
28215,Jacky Hénin,France,GUE/NGL,Left Front,European parliament,MEP,Secretary of the Communist Party Division of La Somme,Public Service,Political party,no,,http://www.lavoixdunord.fr/region/l-ancien-maire-de-calais-jacky-henin-elu-secretaire-du-ia33b48581n3539812,,No,,,,,,,,,,,
28362,Jaime Mayor Oreja,Spain,EPP,People's Party,European parliament,MEP,President of the Fondation Valores y Sociedad (promotes the values of Christianity in society) ,NGO,NGO,no,,http://www.valoresysociedad.org/patronato/,,no,,,PP,,,,,,,,
1419,James Elles,United Kingdom,ECR,Conservative Party,European parliament,MEP,Chairman of the Management Committee of the Transatlantic Policy Network ,NGO,NGO,yes ,,http://www.tpnonline.org/organisation/whos-who/,,yes,http://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=923710115785-95,,,Check what James is up to. Internet Foundation is not his job.,,,,,,,
28354,Jan Brezina,Czech Republic,EPP,Christian and Democratic Union,European parliament,MEP,Municipal Councillor in the City of Unicov,Public Service,Elected office,no,,http://www.unicov.cz/ing-jan-brezina/o-1098/p1=13480,,No,,,,No Others info,,,,,,,
101954,Jan Kozlowski,Poland,EPP,Civic Platform,European parliament,MEP,Vice-President of the European Federation of Rugby ,NGO,NGO,no,2,https://pl.wikipedia.org/wiki/Jan_Koz%C5%82owski_(samorz%C4%85dowiec),,No,,,,,,,,,,,
101954,Jan Kozlowski,Poland,EPP,Civic Platform,European parliament,MEP,President of the Polish Rugby Association,NGO,NGO,no,,https://pl.wikipedia.org/wiki/Jan_Koz%C5%82owski_(samorz%C4%85dowiec),,No,,,PO,,,,,,,,
1965,Jan Mulder,Netherlands,ALDE,People's Party for Freedom and Democracy,European parliament,MEP,Retired,Other,Retired / Deceased,no,,http://www.vvd.frl/tag/jan-mulder/,,No,,,VVD,Provides occasional speeches to senior Members of his party,,,,,,,
96659,János Áder,Hungary,EPP,Fidesz–Hungarian Civic Union,European parliament,MEP,President of Hungary,Public Service,Elected office,no,,http://www.keh.hu/president_janos_ader/1582-Curriculum_vitae_of_Janos_Ader,,No,,,,,,,,,,,
96654,Jaroslav Paška,Slovakia,EFD,National Party,European parliament,MEP,Member of the National Council of the Slovak Republic,Public Service,Elected office,no,,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=103&CisObdobia=7,,No,,,,,,,,,,,
2315,Jean Louis Cottigny,France,S&D,Socialist Party,European parliament,MEP,Vice-President of the Pas-de-Calqais Council,Public Service,Elected office,no,,http://www.pasdecalais.fr/L-institution/Vos-elus/(tri)/nom,http://www.pasdecalais-habitat.fr/fr/accueil/pas-de-calais-habitat/decouvrir-pas-de-calais-habitat/le-conseil-dadministration.aspx,No,,,PS,,,,,,,,
111068,Jean Roatta,France,EPP,Socialist Party,European parliament,MEP,Councillor to the Mayor of Marseille,Public Service,Elected office,no,,http://marseille1-7.fr/la-mairie/le-maire-et-ses-adjoints/,,No,,,PS,,,,,,,,
97021,Jean-Claude Marcourt,Belgium,S&D,Socialist Party,European parliament,MEP,Vice-Président of the Wallonian government,Public Service,Elected office,no,2,https://fr.wikipedia.org/wiki/Jean-Claude_Marcourt,,No,,,PS,,,,,,,,
97021,Jean-Claude Marcourt,Belgium,S&D,Socialist Party,European parliament,MEP,Vice-President of the Brussels- Wallonia Federation,Public Service,Elected office,no,,https://fr.wikipedia.org/wiki/Jean-Claude_Marcourt,,No,,,,,,,,,,,
28176,Jeanine Hennis-Plasschaert,Netherlands,ALDE,People's Party for Freedom and Democracy,European parliament,MEP,Minister of Defence in Netherlands ,Public Service,Elected office,no,,https://en.wikipedia.org/wiki/Jeanine_Hennis-Plasschaert,,No,,,VVD,,,,,,,,
113891,Jean-Jacob Bicep,France,Greens/EFA,Europe Ecology,European parliament,MEP,"Owner of ""Jean Jacob Bicep Consulting"", set up in March 2016",Private Sector,Consultancy,no,,https://www.facebook.com/jeanjacob.bicep,http://www.societe.com/societe/jean-jacob-bicep-consulting-819167826.html,No,,,,It his indeed his company. Cross-checked with FB page ,,,,,,,
28214,Jean-Luc Bennahmias,France,ALDE,Democratic Movement,European parliament,MEP,President of Front democrate in France (he founded this new party in 2014),Public Service,Political party,no,,http://www.lecese.fr/membre/bennahmias,,No,,,,,,,,,,,
28256,Jean-Luc Dehaene,Belgium,EPP,Christian Democratic and Flemish,European parliament,MEP,Deceased in 2014,Other,Retired / Deceased,no,,https://en.wikipedia.org/wiki/Jean-Luc_Dehaene,,No,,,,,,,,,,,
96699,Jean-Paul Besset,France,Greens/EFA,Europe Ecology,European parliament,MEP,Retired,Other,Retired / Deceased,no,,https://fr.wikipedia.org/wiki/Jean-Paul_Besset,,No,,,,,,,,,,,
28193,Jean-Paul Gauzès,France,EPP,Union for a Popular Movement,European parliament,MEP,Board President of the European Financial Reporting Advisory Group. ,Private Sector,Business association,yes ,,http://www.efrag.org/About/Governance/9/EFRAG-Board,,yes,http://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=411098519407-76,,UMP,,,,,,,,
33775,Jean-Pierre Audy,France,EPP,Union for a Popular Movement,European parliament,MEP,Member of the High Level Group monitoring simplification for beneficiaries of ESI funds (European Commission DG REGIO),Public Service,Public sector,no,2,http://ec.europa.eu/regional_policy/en/policy/how/improving-investment/high-level-group-simplification/#1,,No,,,UMP,,,,,,,,
33775,Jean-Pierre Audy,France,EPP,Union for a Popular Movement,European parliament,MEP,Municipal Councillor of the city of Meymac,Public Service,Elected office,no,,https://www.meymac.fr/la-commune/conseil-municipal,,No,,,,,,,,,,,
23691,Jelko Kacin,Slovenia,ALDE,Liberal Democracy,European parliament,MEP,Permanent Representative of Slovenia to NATO,Public Service,Public sector,no,,http://www.nato.int/cps/en/natohq/who_is_who_122157.htm,,No,,,,,,,,,,,
28117,Jim Higgins,Ireland,EPP,Fine Gael,European parliament,MEP,No information available,Unknown,Unknown,Unknown,0,https://en.wikipedia.org/wiki/Jim_Higgins_(Irish_politician),,No,,,,Retired from public life,,,,,,,
96714,Jirí Havel,Czech Republic,S&D,Social Democratic Party,European parliament,MEP,Deceased,Other,Retired / Deceased,no,,https://cs.wikipedia.org/wiki/Ji%C5%99%C3%AD_Havel,,No,,,,On 8th of July 2012. ,,,,,,,
96770,Joanna Katarzyna Skrzydlewska,Poland,EPP,Civic Platform,European parliament,MEP,MP of the Regional Council of Lodz,Public Service,Elected office,no,,https://goo.gl/sfqrXb,,No,,,,,,,,,,,
96789,Joanna Senyszyn,Poland,S&D,Democratic Left Alliance–Labor Union,European parliament,MEP,Vice-President of the Democratic Left Alliance,Public Service,Political party,no,,http://www.sld.org.pl/politycy/19-senyszyn.html,,No,,,,No longer a MP in the Sjem,,,,,,,
124527,Joaquim Cruz,Portugal,EPP,Social Democratic Party,European parliament,MEP,No information available,Unknown,Unknown,Unknown,0,,,No,,,PSD,,,,,,,,
96669,Joe Higgins,Ireland,GUE/NGL,Socialist Party,European parliament,MEP,Retired from public life ,Other,Retired / Deceased,no,,,,No,,,,Stood down from parliament in february 2016,,,,,,,
23938,John Attard-Montalto,Malta,S&D,Labour Party,European parliament,MEP,Lawyer for Saga Juris Advocates (Malta). ,Public Service,Public sector,no,2,http://www.maltatoday.com.mt/news/national/70889/former_labour_mep_lands_central_bank_Consultancies#.WCwzDCErJdg,,No,,,,,,,,,,,
23938,John Attard-Montalto,Malta,S&D,Labour Party,European parliament,MEP,Consultant at the Central Bank of Malta ,Public Service,Public Sector,no,,https://goo.gl/gWpCkr,,No,,,,,,,,,,,
96798,John Bufton,United Kingdom,EFD,UK Independence Party,European parliament,MEP,No information available,Unknown,Unknown,Unknown,0,,,No,,,,,,,,,,,
96753,Jolanta Emilia Hibner,Poland,EPP,Civic Platform,European parliament,MEP,Deputy in the National Assembly in Poland,Public Service,Elected office,no,,http://www.sejm.gov.pl/sejm8.nsf/posel.xsp?id=124&type=A,,No,,,,,,,,,,,
28243,Jorgo Chatzimarkakis,Germany,ALDE,Free Democratic Party,European parliament,MEP,Head of EU Relations at Hydrogen Europe,Private Sector,Company and Group,yes,,http://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=77659588648-75,,Yes,http://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=77659588648-75,,,,,,,,,,
2002,José Ignacio Salafranca Sánchez-Neyra,Spain,EPP,People's Party,European parliament,MEP,Unknown,Unknown,Unknown,Unknown,0,https://es.wikipedia.org/wiki/Jos%C3%A9_Ignacio_Salafranca_S%C3%A1nchez-Neyra,,No,,,,,,,,,,,
1992,José Manuel García-Margallo Y Marfil,Spain,EPP,People's Party,European parliament,MEP,Minister of Foreign Affairs and Cooperation,Public Service,Elected office,no,,http://www.exteriores.gob.es/Portal/en/Ministerio/Ministro/Paginas/Biografia.aspx,,No,,,PP,,,,,,,,
96986,Josefa Andrés Barea,Spain,S&D,Socialist Workers' Party,European parliament,MEP,Unknown ,Unknown,Unknown,Unknown,0,https://es.wikipedia.org/wiki/Josefa_Andr%C3%A9s_Barea,,No,,,,,,,,,,,
110984,Joseph Cuschieri,Malta,S&D,Labour Party,European parliament,MEP,Ambassador of Malta to Greece,Public Service,Public sector,no,,https://foreignaffairs.gov.mt/en/Embassies/Me_Athens/Pages/The-Ambassador.aspx,,No,,,,,,,,,,,
4342,Joseph Daul,France,EPP,Union for a Popular Movement,European parliament,MEP,Executive Board member of the Martens Centre,Academia,Think tank,yes ,2,http://www.martenscentre.eu/people/joseph-daul,,Yes,http://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=865557816122-74,,,,,,,,,,
4342,Joseph Daul,France,EPP,Union for a Popular Movement,European parliament,MEP,President of the EPP (Party),Public Service,Political party,no,,http://www.martenscentre.eu/people/joseph-daul,,No,,,UMP,EPP think tank ? Sounds like heavy BXL lobbying ? ,,,,,,,
5537,Juan Andrés Naranjo Escobar,Spain,EPP,People's Party,European parliament,MEP,No information available,Unknown,Unknown,Unknown,0,,,No,,,PP,Confirmed,,,,,,,
96910,Judith A. Merkies,Netherlands,S&D,Labour Party,European parliament,MEP,Self-employed Advisor in European Public Policy and Regulatory Affairs,Private Sector,Consultancy,yes ,,https://goo.gl/U9Hvdi,,No,,,,For whom?,,,,,,,
96693,Juozas Imbrasas,Lituania,EFD,Order and Justice,European parliament,MEP,Council Member at the Vilnius City Municipality,Public Service,Elected office,no,,https://www.vilnius.lt/eng/Council/6715692,,No,,,,,,,,,,,
96873,Jürgen Creutzmann,Germany,ALDE,Free Democratic Party,European parliament,MEP,Treasurer for the FDP Rheinland-Pfalz ,Public Service,Elected office,no,,http://www.fdp-rlp.de/page/landesvorstand-partei,,No,,,,,,,,,,,
96769,Jürgen Klute,Germany,GUE/NGL,The Left,European parliament,MEP,Lutheran Pastor ,NGO,Religious community,no,,https://en.wikipedia.org/wiki/J%C3%BCrgen_Klute,,No,,,,,,,,,,,
28279,Justas Vincas Paleckis,Lituania,S&D,Social Democratic Party,European parliament,MEP,Member of the Advisory Board of the Center for Global Politics of the Free University of Berlin,Academia,University,no,,http://www.global-politics.org/about-us/advisory-board/index.html,,Yes,http://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=232569310146-44,,,Recently published an article on Brexit through the CGP,,,,,,,
30475,Justina Vitkauskaite Bernard,Lithuania,ALDE,Democratic Party,European parliament,MEP,No information available,Unknown,Unknown,Unknown,0,,,No,,,DP,,,,,,,,
1914,Jutta Haug,Germany,S&D,Social Democratic Party,European parliament,MEP,Chairwoman of Hertener Bürgerstiftung (honorary post),NGO,NGO,no,,http://www.hertenerbuergerstiftung.de/was-wir-tun/,,No,,,,,,,,,,,
28137,Kader Arif,France,S&D,Socialist Party,European parliament,MEP,Resigned as MEP due to suspicion of fraud and opening of judicial inquiry. Currently Deputy of Haute-Girone.,Public Service,Elected office,no,,https://www.nosdeputes.fr/circonscription/departement/Haute-Garonne,,No,,,,,,,,,,,
113890,Karim Zéribi,France,Greens/EFA,Europe Ecology,European parliament,MEP,Public Relations Officer for the SNCF Group,Private Sector,Company and Group,no,2,http://karimzeribi.fr/biographie/,,Yes,http://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=97914681026-14,,,Recheck this,,,,,,,
113890,Karim Zéribi,France,Greens/EFA,Europe Ecology,European parliament,MEP,President of France-Algeria Agora of Leaders,Private Sector,Business association,no,,http://www.agorafrancealgerie.com/club-bureau.php,,No,,,,,,,,,,,
111033,Karlis Šadurskis,Latvia,EPP,Civic Union,European parliament,MEP,Minister of Education and Science,Public Service,Elected office,no,,http://www.mk.gov.lv/en/amatpersonas/karlis-sadurskis,,No,,,,,,,,,,,
28182,Kartika Tamara Liotard,Netherlands,GUE/NGL,Socialist Party ,European parliament,MEP,Senior Advisor for European Subsidies at the Dutch Ministry of Economy,Public Service,Public sector,no,,http://www.parlement.com/id/vgr81a2x0qvk/k_t_kartika_liotard,,No,,,SP,,,,,,,,
96653,Katarína Nevedalová,Slovakia,S&D,Direction–Social Democracy,European parliament,MEP,Cohesion Policy & EU Outermost Regions at SK PRES - Slovak Presidency of the Council of the EU,Public Service,Public sector,no,,http://www.eu2016.sk/data/pdf/Who_is_who.pdf,,No,,,Smer-SD,,,,,,,,
