Nr ,Name,Country,Political_group,Party,Institution,mandate,post_mandate_activities,category_pie ,category_bar,Brussels_lobbying,Number of Activities,Link_source,pre_mandate_activity orginal,pre_mandate_activity,Category pie,category_bar2,Link_DOI,Link_profile,party2,Description ,Paid_unpaid,Answers,Certified,Date of Commission authorisation,Based on advice from Ad hoc Ethical Committee?,Link to authorisation in College of Commissioners' minutes,"Link to Commission authorisation documents, released under freedom of information rules. Click on the links to read the documents"
1253,Hans-Gert PÖTTERING,Germany,EPP,Christian Democratic Union,European Parliament,MEP,"Member of the Board of Directors of the Association for the ""International Charlemagne Prize"" of Aachen",NGOs,NGOs,no,,https://de.wikipedia.org/wiki/Hans-Gert_P%C3%B6ttering,,"Coworker for the CSU/CSU faction in the German Budestag, President of the Konrad Adenauer Foundation, Board of Construction company Johan Bunte GmbH ",Elected office and public sector,Political parties,http://www.europarl.europa.eu/ep-dif/1253_28-03-2012.pdf,,,Also a member of the A soul for Europe with Doris Pack,,,,,,,
1253,Hans-Gert PÖTTERING,Germany,EPP,Christian Democratic Union,European Parliament,MEP,Boardmember of the House of European History,NGOs,NGOs,no,,https://de.wikipedia.org/wiki/Hans-Gert_P%C3%B6ttering,,"Coworker for the CSU/CSU faction in the German Budestag, President of the Konrad Adenauer Foundation, Board of Construction company Johan Bunte GmbH ",Elected office and public sector,Political parties,http://www.europarl.europa.eu/ep-dif/1253_28-03-2012.pdf,,,,,,,,,,
4238,Hans-Peter MARTIN,Austria,NI,Hans-Peter Martin's List,European Parliament,MEP,Journalist,Private Sector,Media,no,,,,MEP,Elected office and public sector,Elected office,http://www.europarl.europa.eu/ep-dif/4238_14-03-2012.pdf,,,,,,,,,,
4275,Hans-Peter MAYER,Germany,EPP,Christian Democratic Union,European Parliament,MEP,Unkown,Unknown,Unknown,Unknown,,,Rechtsanwalt2Rechtsanwalt1,Lawyer,Private sector,Self-employed,http://www.europarl.europa.eu/ep-dif/4275_14-03-2012.pdf,,,Not working in conulting,,,,,,,
4318,Harlem DÉSIR,France,S&D,Socialist Party,European Parliament,MEP,Secretary of State for European Affairs ,Elected office & public sector,Elected office,no,,http://www.diplomatie.gouv.fr/en/the-minister-and-the-ministers-of-state/harlem-desir/,"Collaborateur aux éditions Gawsewitch de 1986 à 19951Chargé de mission ""fédération Relais"" de 1995 à 19972Membre du Conseil économique et social de 1997 à 1999200000000000000000000000000000000000000000000000000000000Sécrétariat du personnel de cabinetParti socialisteBureau, ordinateur, véhicule de fonctionParti socialiste000","Member of the Socialist Party secretariat, Collaborator for Gawseitch, Officer for ""Relais Federation"", Member of the economic of social council",Elected office and public sector,Political parties,http://www.europarl.europa.eu/ep-dif/4318_11-04-2013.pdf,,,,,,,,,,
4294,Heide RÜHLE,Germany,Greens/EFA,Alliance '90/The Greens,European Parliament,MEP,No information available,Unknown,Unknown,Unknown,,,,Unreadable,Unknown,Unknown,http://www.europarl.europa.eu/ep-dif/4294_22-03-2012.pdf,,,,,,,,,,
4385,Hélène FLAUTRE,France,Greens/EFA,Europe Ecology,European Parliament,MEP,Munipal Councilor in the city of Arras,Elected office & public sector,Elected office,no,,https://www.arras.fr/fr/elus,,Unknown,Unknown,Unknown,http://www.europarl.europa.eu/ep-dif/4385_21-03-2012.pdf,,,,,,,,,,
96879,Hella RANNER,Austria,EPP,Austrian People's Party,European Parliament,MEP,sentenced to prison for 2 zears and a half in 2014,Others,Prison,no,,https://de.wikipedia.org/wiki/Hella_Ranner,Unknown,Unknown,Unknown,Unknown,http://www.europarl.europa.eu/ep-dif/96879_13-01-2011.pdf,,OVP,Should come out soon though,,,,,,,
2319,Henri WEBER,France,S&D,Socialist Party,European Parliament,MEP,Retired,Others,Retired,no,,https://fr.wikipedia.org/wiki/Henri_Weber,,Senator in French Senate,Elected office and public sector,Elected office,http://www.europarl.europa.eu/ep-dif/2319_29-02-2012.pdf,,PS,,,,,,,,
1059,Hiltrud BREYER,Germany,Greens/EFA,Alliance '90/The Greens,European Parliament,MEP,Member of the Scientific Advisory Committe of the Coalition against BAYER dangers (CBG),NGOs,NGOs,Unknown,,http://www.cbgnetwork.org/38.html,Grüne Liga Berlin0,Member of the Grüne Liga Berlin,Elected office and public sector,Political parties,http://www.europarl.europa.eu/ep-dif/1059_05-11-2013.pdf,,,,,,,,,,
28247,Holger KRAHMER,Germany,ALDE,Free Democratic Party,European Parliament,MEP,Director European affairs public policy and government relations at Opel Group,Private Sector,Consultancies,yes ,,https://corporateeurope.org/revolvingdoorwatch/cases/holger-krahmer,Mitglied des Europäischen Parlaments,MEP,Elected office and public sector,Elected office,http://www.europarl.europa.eu/ep-dif/rev/28247_21-03-2012_Rev2.pdf,,,,,,,,,,
1930,Horst SCHNELLHARDT,Germany,EPP,Christian Democratic Union,European Parliament,MEP,No information available,Unknown,Unknown,Unknown,,,"Abgeordneter des Landtags Sachsen-Anhalt200000000000000000000Vorstandsmitglied Europäische Bewegung Sachsen-Anhalt0Mitglied Landesvorstand CDU0Mitglied Tierärztekamer Deutschlands0Bundesfachausschuss Außen-, Europa- und Sicherheitspolitik der CDU0Stellvertretendes Mitglied im Vorstand der Europäischen Volkspartei00000000000000000000000000000000000","MP of the Saxony Parliament, Member of the executive board of the Saxony European movement, Member of the executive committee of the CDU, Member of the executive board of the European People's party",Elected office and public sector,Elected office,http://www.europarl.europa.eu/ep-dif/1930_04-06-2012.pdf,,,,,,,,,,
2307,Hubert PIRKER,Austria,EPP,Austrian People's Party,European Parliament,MEP,Chief executive and company owner of Dr. Hubert Pirker - EUCONET,Private Sector,Consultancies,yes ,,http://www.euconet.at/dr-hubert-pirker-2/cv/?lang=en,,"Consultant, Professor ",Private sector,Consultancies,http://www.europarl.europa.eu/ep-dif/2307_07-03-2012.pdf,,OVP,,,,,,,,
23695,Hynek FAJMON,Czech Republic,ECR,Civic Democratic Party,European Parliament,MEP,Consultant ,Private Sector,Consultancies,yes ,,http://www.bpresearch.eu/lide,,MP for the Czech Parliament,Elected office and public sector,Elected office,http://www.europarl.europa.eu/ep-dif/23695_29-02-2012.pdf,,,Brussels based lobbying,,,,,,,
4466,Ilda FIGUEIREDO,Portugal,GUE/NGL,Democratic Unity Coalition (Communist Party),European Parliament,MEP,Unknown,Unknown,Unknown,Unknown,,,Unknown,Unknown,Unknown,Unknown,http://www.europarl.europa.eu/ep-dif/4466_11-01-2011.PDF,,,,,,,,,,
96834,Iliana IVANOVA,Bulgaria,EPP,Citizens for European Development of Bulgaria,European Parliament,MEP,Member of the European Court of Auditors ,Elected office & public sector,Public sector,no,,http://www.eca.europa.eu/en/Pages/OrganizationChartList.aspx,Unknown,Unknown,Unknown,Unknown,http://www.europarl.europa.eu/ep-dif/96834_19-03-2012.pdf,,GERB,,,,,,,,
119875,Iñaki IRAZABALBEITIA FERNÁNDEZ,Spain,Greens/EFA,Aralar Party,European Parliament,MEP,Corresponding academic for Euskaltzaindia (Academy of the basque language),Academia,Academic,no,,http://www.euskaltzaindia.eus/index.php?option=com_content&view=article&id=4764&Itemid=405&lang=eu,"Fundación ElhoyarElhoyar-Lubize, SLAlkizayo Oilategitiy kultur ElkarteaAlkizayo Oilategitiy kultur Elkartea",lhoyar-Lubize Foundation,NGOs,NGOs ,http://www.europarl.europa.eu/ep-dif/119875_11-07-2013.pdf,,,,,,,,,,
1873,Íñigo MÉNDEZ DE VIGO,Spain,EPP,People's Party,European Parliament,MEP,"Ministro de Educación, Cultura y Deporte y Diputado por Palencia",Elected office & public sector,Elected office,no,,http://www.mecd.gob.es/ministerio-mecd/ministro.html,"Lawyer, Member of the Arbtration tribunal of Soain","Lawyer, Member of the Arbtration tribunal of Soain",Private sector,Self-employed,http://www.europarl.europa.eu/ep-dif/1873_25-01-2011.pdf,,PP,,,,,,,,
96859,Ioan ENCIU,Romania,S&D,Social Democratic Party,European Parliament,MEP,No information available,Unknown,Unknown,Unknown,,,,Consultant,Private sector,Consultancies,http://www.europarl.europa.eu/ep-dif/96859_21-03-2012.pdf,,,Confirm,,,,,,,
96898,Ioannis A. TSOUKALAS,Greece,EPP,New Democracy,European Parliament,MEP,Professor at the Aristotle University of Thessanloniki,Academia,Academic,no,,https://goo.gl/wk2XiP,ΚΑΘΗΓΗΤΗΣ ΑΕΙ (ΣΕ ΑΝΑΣΤΟΛΗ) 2006-2008ΓΕΝΙΚΟΣ ΓΡΑΜΜΑΤΕΑΣ ΕΡΕΥΝΑΣ ΚΑΙ ΤΕΧΝΟΛΟΓΙΑΣ - ΥΠΟΥΡΓΕΙΟ ΑΝΑΠΤΥΞΗΣ (2004-2008)3,"University professor, Secretary at Ministry of Development",Academia,Academic,http://www.europarl.europa.eu/ep-dif/rev/96898_06-03-2012_Rev2.pdf,,,,,,,,,,
28474,Ioannis KASOULIDES,Cyprus,EPP,Democratic Rally,European Parliament,MEP,Minister of Foreign Affairs of the Republic of Cyprus,Elected office & public sector,Elected office,no,,http://www.mfa.gov.cy/mfa/mfa2016.nsf/All/277ED5DD99EFEB25C2257F9C00209CFF?OpenDocument,Unknown,Unknown,Unknown,Unknown,http://www.europarl.europa.eu/ep-dif/28474_27-02-2012.pdf,,,,,,,,,,
95017,Iosif MATULA,Romania,EPP,Democratic Liberal Party,European Parliament,MEP,Professor at the Arad High School ,Academia,Academic,no,,https://www.facebook.com/pages/Iosif-Matula/144306458917399?fref=ts,"Presedinte Consiliul Judetean Arad2Vicepresedinte Consiliul Judetean Arad2Europarlamentar Parlament European Indemnizatie Prin Camera Deputatilor Romania200Membru ONG ""Apao Chisineu-Cris""0Membru Societatea De Chimie Din Romania0Vicepresedinte [BPJARED?| PDL (Partiul Democrat Liberal)0000000","Vice-Chairman County Council, MEP, MP of the Romanian Parliament",Elected office and public sector,Elected office,http://www.europarl.europa.eu/ep-dif/95017_22-03-2012.pdf,,,,,,,,,,
96639,Isabelle DURANT,Belgium,Greens/EFA,Ecolo,European Parliament,MEP,Member of the Brussels-Capital regional parliament,Elected office & public sector,Elected office,no,,https://goo.gl/AR9q3l,,Senator in Belgium,Elected office and public sector,Elected office,http://www.europarl.europa.eu/ep-dif/96639_08-03-2012.pdf,,,,,,,,,,
41007,Iva ZANICCHI,Italy,EPP,The people of freedom,European Parliament,MEP,Retired,Others,Retired,no,,https://it.wikipedia.org/wiki/Iva_Zanicchi,Attivitá Artística40Attivitá artística4Pensione empals20000000,Artistic activities ,Others,Others,http://www.europarl.europa.eu/ep-dif/41007_18-06-2013.pdf,,,Retired,,,,,,,
96807,Ivailo KALFIN,Bulgaria,S&D,Coalition for Bulgaria (Socialist Party),European Parliament,MEP, Currently official candidate for the Presidency,Elected office & public sector,Political parties,no,,"http://www.novinite.com/articles/176751/Ivaylo+Kalfin,+the+Seasoned+Politician+Facing+an+Uphill+Battle",,Unknown,Unknown,Unknown,http://www.europarl.europa.eu/ep-dif/96807_02-03-2012.pdf,,,,,,,,,,
97025,Ivari PADAR,Estonia,S&D,Social Democratic Party,European Parliament,MEP,Member of the Estonian Parliament ,Elected office & public sector,Elected office,no,,http://www.riigikogu.ee/en/parliament-of-estonia/composition/members-riigikogu/,Riigikogu liige2minister2,"Minister of Finance, Minister of Agriculture ",Elected office and public sector,Elected office,http://www.europarl.europa.eu/ep-dif/97025_28-03-2012.pdf,,,,,,,,,,
97004,Ivars GODMANIS,Latvia,ALDE,Latvia's First Party/Latvian Way,European Parliament,MEP,No information available,Unknown,Unknown,Unknown,,https://fr.wikipedia.org/wiki/Ivars_Godmanis,,Diplomatic Representative,Elected office and public sector,Public sector,http://www.europarl.europa.eu/ep-dif/97004_29-03-2012.pdf,,,No info ,,,,,,,
28320,Ivo STREJCEK,Czech Republic,ECR,Civic Democratic Party,European Parliament,MEP,Advisor to former President Vaclav Havel ,Elected office & public sector,Political parties,no,,https://cs.wikipedia.org/wiki/Ivo_Strej%C4%8Dek,,"Language teacher, Councillor Zdar nad Sazaron, ",Academia,Academic,http://www.europarl.europa.eu/ep-dif/28320_10-12-2012.pdf,,,,,,,,,,
96795,Jacek Olgierd KURSKI,Poland,ECR,Law and Justice,European Parliament,MEP,General Director of Polish Television,Private Sector,Media,no,,https://pl.wikipedia.org/wiki/Jacek_Kurski,,MP for the Polish Parliament ,Elected office and public sector,Elected office,http://www.europarl.europa.eu/ep-dif/96795_30-03-2012.pdf,,PiS,Got nominated by the current administration,,,,,,,
23782,Jacek PROTASIEWICZ,Poland,EPP,Civic Platform,European Parliament,MEP,MP in the Sejm,Elected office & public sector,Elected office,no,,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=312,,"Director of the municipal office of Wrozlav, Regional Councilor, Member of the Council of the Polish Tourist Organisations ",Elected office and public sector,Elected office,http://www.europarl.europa.eu/ep-dif/23782_17-01-2012.pdf,,,,,,,,,,
96802,Jacek WLOSOWICZ,Poland,ECR,Law and Justice,European Parliament,MEP,Senator in Poland,Elected office & public sector,Elected office,no,,"https://www.senat.gov.pl/sklad/senatorowie/senator,468,9,jacek-wlosowicz.html",,Unknown,Unknown,Unknown,http://www.europarl.europa.eu/ep-dif/96802_21-03-2012.pdf,,PiS,,,,,,,,
28215,Jacky HÉNIN,France,GUE/NGL,Left Front,European Parliament,MEP,Municipal Councelor in in the city of Calais. Secretary of the Communist Pary division of la Somme.,Elected office & public sector,Elected office,no,,http://www.calais.fr/fr/Ville-de-Calais/la-mairie/vie-municipale/les-elus/presentation?userprofile=566841111a6c7e89089a8a7f,Membre of the PE3Conseiller Municipal Ville de Calcais24000Association Soign de sante a Calais00000,"MEP, Municipal Councilor of CalaisAssociation Soign de sante a Calais00000",Elected office and public sector,Elected office,http://www.europarl.europa.eu/ep-dif/rev/28215_27-03-2012_Rev2.pdf,,,Unclear if this is a job,,,,,,,
28362,Jaime MAYOR OREJA,Spain,EPP,People's Party,European Parliament,MEP,President de la Fundación Valores y Sociedad (promotes the values of Christianity in society) ,NGOs,NGOs,no,,,Diputado al Parlamento Vasco2Diputado al Congreso2Patrono Fundación Gregorio Ordóñez (sin remuneración)Patrono Fundación Miguel Ángel Blanco (sin remuneración)Presidente de la Fundación Valores y Sociedad (No remunerado)Patrono Fundación FAES (No remunerado)Patrono Fundación Gregorio Ordóñez (sin remuneración)Patrono Fundación Miguel Ángel Blanco (sin remuneración),"MP of Basque Parliament, President of the Gregorio Ordonez foundationm President of the Values and Society fundation",Elected office and public sector,Elected office,http://www.europarl.europa.eu/ep-dif/28362_29-03-2012.pdf,,PP,,,,,,,,
1419,James ELLES,United Kingdom,ECR,Conservative Party,European Parliament,MEP,Chairman of the management committee of the transatlantic policy network ,NGOs,NGOs,yes ,,http://www.tpnonline.org/organisation/whos-who/,MEP3,MEP,Elected office and public sector,Elected office,http://www.europarl.europa.eu/ep-dif/rev/1419_09-04-2012_Rev2.pdf,,,Check what James is up to. Internet Foundation is not his job.,,,,,,,
28354,Jan BREZINA,Czech Republic,EPP,Christian and Democratic Union,European Parliament,MEP,Municipal Councilor in the city of Unicov,Elected office & public sector,Elected office,no,,http://www.unicov.cz/ing-jan-brezina/o-1098/p1=13480,,Unknown,Unknown,Unknown,http://www.europarl.europa.eu/ep-dif/28354_12-03-2012.PDF,,,No Others info,,,,,,,
101954,Jan KOZLOWSKI,Poland,EPP,Civic Platform,European Parliament,MEP,Vice-president of the European Federation of Rugby ,NGOs,NGOs,no,2,,,Unknown,Unknown,Unknown,http://www.europarl.europa.eu/ep-dif/101954_06-03-2012.pdf,,,,,,,,,,
101954,Jan KOZLOWSKI,Poland,EPP,Civic Platform,European Parliament,MEP,President of the Polish Rugby Association,NGOs,NGOs,no,,https://pl.wikipedia.org/wiki/Jan_Koz%C5%82owski_(samorz%C4%85dowiec),,Unknown,Unknown,Unknown,http://www.europarl.europa.eu/ep-dif/101954_06-03-2012.pdf,,PO,,,,,,,,
1965,Jan MULDER,Netherlands,ALDE,People's Party for Freedom and Democracy,European Parliament,MEP,Retired,Others,Retired,no,,http://www.vvd.frl/tag/jan-mulder/,LIDEP tot July 20093lid klankbordgroep AUEBElid advies comite Museum 'De Leanman',"MEP untill 2009, member of the advisory committee of the ""De Leanman"" museum ",Elected office and public sector,Elected office,http://www.europarl.europa.eu/ep-dif/rev/1965_22-06-2012_Rev2.pdf,,VVD,Provides occasional speeches to senior members of his party,,,,,,,
96659,János ÁDER,Hungary,EPP,Fidesz–Hungarian Civic Union,European Parliament,MEP,President of Hungary,Elected office & public sector,Elected office,no,,http://www.keh.hu/president_janos_ader/1582-Curriculum_vitae_of_Janos_Ader,Unknown,Unknown,Unknown,Unknown,http://www.europarl.europa.eu/ep-dif/96659_01-03-2012.pdf,,,,,,,,,,
96654,Jaroslav PAŠKA,Slovakia,EFDD,National Party,European Parliament,MEP,Member of the National Council of the Slovak Republic,Elected office & public sector,Elected office,no,,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=103&CisObdobia=7,,MP for the Slovakian Parliament,Elected office and public sector,Elected office,http://www.europarl.europa.eu/ep-dif/96654_29-03-2012.pdf,,,,,,,,,,
2315,Jean Louis COTTIGNY,France,S&D,Socialist Party,European Parliament,MEP,Vice-President of the Pas-de-Calqais Council,Elected office & public sector,Elected office,no,,http://www.pasdecalais.fr/L-institution/Vos-elus/(tri)/nom,Employé secteur privé de 2009 à 20112,Employed in the private sector from 2009 until 2012,Private sector,Companies and Groups ,http://www.europarl.europa.eu/ep-dif/rev/2315_04-07-2012_Rev2.pdf,http://www.pasdecalais-habitat.fr/fr/accueil/pas-de-calais-habitat/decouvrir-pas-de-calais-habitat/le-conseil-dadministration.aspx,PS,,,,,,,,
111068,Jean ROATTA,France,EPP,Socialist Party,European Parliament,MEP,Councillor to the Mayor of Marseille,Elected office & public sector,Elected office,no,,http://marseille1-7.fr/la-mairie/le-maire-et-ses-adjoints/,Député national de 2007 à 20113,Policy Officer Planing & control Tilburg University (January 2003 - October 2012)  Supervisory Students Pendragon ,Academia,Academic,http://www.europarl.europa.eu/ep-dif/rev/111068_05-03-2012_Rev2.pdf,,PS,,,,,,,,
97021,Jean-Claude MARCOURT,Belgium,S&D,Socialist Party,European Parliament,MEP,Vice-Président of the Wallonian government,Elected office & public sector,Elected office,no,2,https://fr.wikipedia.org/wiki/Jean-Claude_Marcourt,"Lawyer, Municipal Councilor, Minister for the Walloon region","Lawyer, Municipal Councilor, Minister for the Walloon region",Elected office and public sector,Elected office,http://www.europarl.europa.eu/ep-dif/97021_25-06-2009.pdf,,PS,,,,,,,,
