host	date	location	title	guestid	guestname	cabinet
Commissioner Jonathan Hill	02/12/2014	Brussels	Capital Markets Union	71488206456-23	Federation of European Securities Exchanges	
Commissioner Jonathan Hill	02/12/2014	Brussels	Financial Services Policy	550494915045-08	London Stock Exchange	
Denzil Davidson	17/03/2015	Brussels	Financial Services Policy	732259614632-44	Tata Limited	Cabinet members of Commissioner Jonathan Hill
Lee Foulger	10/03/2015	Brussels	Benchmark regulation	846961512558-23	Argus Media	Cabinet members of Commissioner Jonathan Hill
Lee Foulger	09/03/2015	Brussels	Recovery and resolution of central counterparties (CCPs)	unregistered	European Association of CCP Clearing Houses (EACH) 	Cabinet members of Commissioner Jonathan Hill
Lee Foulger	09/03/2015	Brussels	Securitisation	unregistered	Bank of America Merrill Lynch	Cabinet members of Commissioner Jonathan Hill
Lee Foulger	06/03/2015	Brussels	Capital Markets Union (CMU)	unregistered	Conseil de Coopération Economique (CCE)	Cabinet members of Commissioner Jonathan Hill
Mette Toftdal Grolleman	06/03/2015	Brussels	International insurance issues	07203323308-65	Lloyd&#039;s	Cabinet members of Commissioner Jonathan Hill
Chantal Hughes	05/03/2015	Brussels	Banking	858716912337-17	Swiss Finance Council	Cabinet members of Commissioner Jonathan Hill
Sebastian Kuck	05/03/2015	Belgium, Brussels, BERL	Accounting and Audit	7719382720-34	Institute of Chartered Accountants in England and Wales	Cabinet members of Commissioner Jonathan Hill
Sebastian Kuck	04/03/2015	Belgium, Brussels, BERL	Credit Rating Agencies	24205924101-57	European Association of Credit Rating Agencies	Cabinet members of Commissioner Jonathan Hill
Lee Foulger	04/03/2015	Brussels	Financial regulations overview	683857614787-75	IPK European Strategy	Cabinet members of Commissioner Jonathan Hill
Matthew Baldwin	04/03/2015	Brussels	Financial policy	237922911665-25	TheCityUK	Cabinet members of Commissioner Jonathan Hill
Matthew Baldwin	04/03/2015 (Cancelled)	Brussels	TheCityUK	unregistered	Financial policy	Cabinet members of Commissioner Jonathan Hill
Sebastian Kuck	04/03/2015	Belgium, Brussels, BERL	Accounting	unregistered	Financial Accounting Foundation	Cabinet members of Commissioner Jonathan Hill
Sebastian Kuck	04/03/2015	Belgium, Brussels, BERL	Accounting	unregistered	Association of German Banks	Cabinet members of Commissioner Jonathan Hill
Matthew Baldwin	03/03/2015	Brussels	Financial policy	33213703459-54	Insurance Europe	Cabinet members of Commissioner Jonathan Hill
Denzil Davidson	02/03/2015	Brussels	Financial Sevices policy	968730515094-08	National Association of Pension Funds	Cabinet members of Commissioner Jonathan Hill
Lee Foulger	02/03/2015	Brussels	Markets in Financial Instruments Directive (MIFID)/Capital Markets Union (CMU)	unregistered	Bloomberg Europe	Cabinet members of Commissioner Jonathan Hill
Denzil Davidson	25/02/2015	Brussels	Financial Service Policy	519393415904-86	First Data Corporation	Cabinet members of Commissioner Jonathan Hill
Denzil Davidson	25/02/2015	Brussels	Financial Services Policy	0714344663-32	Lufthansa	Cabinet members of Commissioner Jonathan Hill
Lee Foulger	25/02/2015	Brussels	Resolution of central counterparties (CCPs)	unregistered	Investment Managers Association-UK 	Cabinet members of Commissioner Jonathan Hill
Sebastian Kuck	25/02/2015	Belgium, Brussels, BERL	Digital Single Market	60394321918-91	IFPI Representing recording industry worldwide	Cabinet members of Commissioner Jonathan Hill
Denzil Davidson	24/02/2015	Brussels	Financial Services Policy	03845856565-52	Which?	Cabinet members of Commissioner Jonathan Hill
Matthew Baldwin	24/02/2015	Brussels	Financial Policy	5265780509-97	AmCham EU	Cabinet members of Commissioner Jonathan Hill
Matthew Baldwin	24/02/2015	Brussels	Financial Policy	33622026795-64	Bruegel	Cabinet members of Commissioner Jonathan Hill
Mette Toftdal Grolleman	24/02/2015	Brussels	Introduction meeting with a focus on level 2 and retail banking	unregistered	ABN AMRO Bank Belgium	Cabinet members of Commissioner Jonathan Hill
Mette Toftdal Grolleman	24/02/2015	Brussels	IORPs, own initiative report from EIOPA, CMU from a pension fund view	unregistered	Pensioen Federatie	Cabinet members of Commissioner Jonathan Hill
Matthew Baldwin	23/02/2015	Brussels	Financial Policy	858716912337-17	Swiss Finance Council	Cabinet members of Commissioner Jonathan Hill
Lee Foulger	19/02/2015	Brussels	Union customs code	1894704851-83	European Express Association	Cabinet members of Commissioner Jonathan Hill
Lee Foulger	19/02/2015	Brussels	Capital Markets Union (CMU)	62379064909-15	Deutscher Sparkassen-und Giroverband	Cabinet members of Commissioner Jonathan Hill
Chantal Hughes	18/02/2015	Brussels	Preparation for Commissioner Hill's speech at SIFMA in Washington on 27 February	unregistered	Securities Industry &amp; Financial Markets Association (SIFMA) - International Policy Committee	Cabinet members of Commissioner Jonathan Hill
Denzil Davidson	13/02/2015	Brussels	Financial Services Policy	24633926420-79	The European Federation of Financial Services Users	Cabinet members of Commissioner Jonathan Hill
Mette Toftdal Grolleman	11/02/2015	Brussels	EMIR, CCP recognition, MiFID, Level 2, Nordic business issues	unregistered	Nasdaq Stockholm	Cabinet members of Commissioner Jonathan Hill
Nathalie De Basaldua Lemarchand	11/02/2015	Brussels	Introductory Meeting	090350412968-04	BANCO BILBAO VIZCAYA ARGENTARIA	Cabinet members of Commissioner Jonathan Hill
Denzil Davidson	10/02/2015 (Cancelled)	Brussels	Financial Services Policy	369157115807-10	The Clearing House	Cabinet members of Commissioner Jonathan Hill
Mette Toftdal Grolleman	10/02/2015	Brussels	Competition issue, Investment plan and CMU	4016736872-59	General Electric	Cabinet members of Commissioner Jonathan Hill
Mette Toftdal Grolleman	10/02/2015	Brussels	CMU and Banking issues	unregistered	Portuguese Banking Association (APB)	Cabinet members of Commissioner Jonathan Hill
Denzil Davidson	09/02/2015	Brussels	Financial Services Policy	524976815651-12	Centre for European Reform	Cabinet members of Commissioner Jonathan Hill
Denzil Davidson	06/02/2015	Brussels	Financial Services Policy	05241797002-90	Tuskon	Cabinet members of Commissioner Jonathan Hill
Sebastian Kuck	05/02/2015	Belgium, Brussels, BERL 10th	Occupational pensions	unregistered	Federation of German Employers&#039; Associations in the Metal and Electrical Engineering Industries	Cabinet members of Commissioner Jonathan Hill
Mette Toftdal Grolleman	05/02/2015	Brussels	Introduction meeting	unregistered	French Federation of Insurance Companies	Cabinet members of Commissioner Jonathan Hill
Sebastian Kuck	05/02/2015	Belgium, Brussels, BERL 10th	Public Banking Sector	0767788931-41	Bundesverband Öffentlicher Banken Deutschlands	Cabinet members of Commissioner Jonathan Hill
Denzil Davidson	05/02/2015	Brussels	Financial Services Policy	unregistered	J P Morgan	Cabinet members of Commissioner Jonathan Hill
Denzil Davidson	05/02/2015 (Cancelled)	Brussels	Financial Services Policy	unregistered	J P Morgan	Cabinet members of Commissioner Jonathan Hill
Lee Foulger	04/02/2015	Brussels	CMU/MIFID II	622921012417-15	Nordic Securities Association	Cabinet members of Commissioner Jonathan Hill
Nathalie De Basaldua Lemarchand	03/02/2015	Brussels	Introductory Meeting	554266514967-88	Banco Popular	Cabinet members of Commissioner Jonathan Hill
Mette Toftdal Grolleman	03/02/2015	Brussels	BSR, CMU, covered bond and level 2 measures in CRD/CRR	107779213747-53	Nordea	Cabinet members of Commissioner Jonathan Hill
Chantal Hughes	03/02/2015	Brussels	Banking structural reform	271912611231-56	Deutsche Bank	Cabinet members of Commissioner Jonathan Hill
Sebastian Kuck	03/02/2015	Belgium, Brussels, BERL	DSM	00919034091-89	BT Group plc	Cabinet members of Commissioner Jonathan Hill
Lee Foulger	03/02/2015	Brussels	CMU/Africa	233323715723-88	STANDARD BANK	Cabinet members of Commissioner Jonathan Hill
Mette Toftdal Grolleman	03/02/2015	Brussels	CMU, Mifid level 2	622921012417-15	Nordic Securities Association	Cabinet members of Commissioner Jonathan Hill
Denzil Davidson	30/01/2015	Brussels	Financial Services Policy	unregistered	European Digital Media Organisation	Cabinet members of Commissioner Jonathan Hill
Mette Toftdal Grolleman	29/01/2015	Brussels	Solvency II	05503341949-54	Allianz SE	Cabinet members of Commissioner Jonathan Hill
Matthew Baldwin	29/01/2015	Brussels	Financial Policy	8765978796-80	European Savings and Retail Banking Group	Cabinet members of Commissioner Jonathan Hill
Nathalie De Basaldua Lemarchand	28/01/2015	Brussels	Introductory Meeting	unregistered	The Index Industry Association	Cabinet members of Commissioner Jonathan Hill
Matthew Baldwin	28/01/2015	Brussels	Financial Policy - Priorities 2015	56953548578-36	European Australian Business Council	Cabinet members of Commissioner Jonathan Hill
Chantal Hughes	27/01/2015	Brussels	Capital Markets Union, Bank Structural Reform, Payments services	09245221105-30	Fédération Bancaire Française	Cabinet members of Commissioner Jonathan Hill
Sebastian Kuck	27/01/2015	Belgium, Brussels, BERL 10th	BSR	1321739923-73	NRW.Bank	Cabinet members of Commissioner Jonathan Hill
Denzil Davidson	27/01/2015	Brussels	Financial Services Policy	33858106461-10	Raiffeisen 	Cabinet members of Commissioner Jonathan Hill
Mette Toftdal Grolleman	27/01/2015	Brussels	Preparation Conference in Latvia, CMU, securitisation, long term Presidency planning	479696415739-28	EUROFI	Cabinet members of Commissioner Jonathan Hill
Sebastian Kuck	23/01/2015	Belgium, Brussels, BERL 10th	Auditing and financial reporting	20935778703-23	Europeanissuers	Cabinet members of Commissioner Jonathan Hill
Sebastian Kuck	23/01/2015 (Cancelled)	Belgium, Brussels, BERL	Audit & Accounting	20935778703-23	Europeanissuers	Cabinet members of Commissioner Jonathan Hill
Denzil Davidson	22/01/2015	Brussels	Financial Services Policy	84973761187-60	EuroCommerce	Cabinet members of Commissioner Jonathan Hill
Denzil Davidson	22/01/2015	Brussels	Financial Services Policy	08618215943-22	Jaguar Land Rover Limited	Cabinet members of Commissioner Jonathan Hill
Nathalie De Basaldua Lemarchand	22/01/2015	Brussels	Securitisation	4722660838-23	European Banking Federation	Cabinet members of Commissioner Jonathan Hill
Lee Foulger	22/01/2015	Brussels	Capital Markets Union	22400601191-42	Deutscher Industrie- und Handelskammertag e.V.	Cabinet members of Commissioner Jonathan Hill
Mette Toftdal Grolleman	21/01/2015	Brussels	Introductory meeting	4016736872-59	General Electric	Cabinet members of Commissioner Jonathan Hill
Denzil Davidson	21/01/2015	Brussels	Financial Services Policy	39850528734-23	Bar of England and Wales	Cabinet members of Commissioner Jonathan Hill
Mette Toftdal Grolleman	21/01/2015	Brussels	BRS, Level 2 acts coming out of CRRD/CRD, Solvency II, CMU, Lloyds AQR results	06872998232-31	Lloyds Banking Group	Cabinet members of Commissioner Jonathan Hill
Lee Foulger	20/01/2015	Brussels	EMIR/MIFID II	69766701400-79	ICAP	Cabinet members of Commissioner Jonathan Hill
Nathalie De Basaldua Lemarchand	20/01/2015	Brussels	Introductory Meeting	995801715250-37	Securities Industry and Financial Markets Association	Cabinet members of Commissioner Jonathan Hill
Nathalie De Basaldua Lemarchand	19/01/2015	Brussels	Presentation of study on the impact of legislation	65515368730-59	KPMG EMA GENOSSENSCHAFT	Cabinet members of Commissioner Jonathan Hill
Sebastian Kuck	19/01/2015	Brussels, BERL 10th floor	IFRS	unregistered	IFRS Foundation	Cabinet members of Commissioner Jonathan Hill
Mette Toftdal Grolleman	19/01/2015	Brussels	Introduction meeting	unregistered	National Association of Pension Funds Limited	Cabinet members of Commissioner Jonathan Hill
Lee Foulger	16/01/2015	Brussels	Capital Markets Union	65110063986-76	Association for Financial Markets in Europe	Cabinet members of Commissioner Jonathan Hill
Sebastian Kuck	16/01/2015	Bruxelles, BERL 10th	Company financing in the electronic sector	unregistered	German Electrical and Electronic Manufacturers&#039; Association	Cabinet members of Commissioner Jonathan Hill
Sebastian Kuck	16/01/2015	Brussels, BERL 10th floor	Implementation of the new Audit framework	04458109373-91	Ernst &amp; Young	Cabinet members of Commissioner Jonathan Hill
Mette Toftdal Grolleman	16/01/2015	Brussels	Solvency II	33213703459-54	insurance europe	Cabinet members of Commissioner Jonathan Hill
Sebastian Kuck	15/01/2015	Brussels, BERL 10th	Covered Bonds	60762921532-05	Verband deutscher Pfandbriefbanken e.V.	Cabinet members of Commissioner Jonathan Hill
Denzil Davidson	15/01/2015	Brussels	Financial Services Policy	339569615567-89	European Council on Foreign Relations	Cabinet members of Commissioner Jonathan Hill
Matthew Baldwin	15/01/2015	Brussels	Financial Policy - Priorities 2015	48714858158-06	Institute of International Finance	Cabinet members of Commissioner Jonathan Hill
